task,horizon_weeks,run_id,target,model,feature_set,n_test,n_folds,mae,rmse,r2,direction_accuracy,mean_actual_return,mean_predicted_return,threshold,accuracy,balanced_accuracy_present_classes,macro_f1,n_down,n_flat,n_up,extreme_event_rate,has_both_extreme_classes,confusion_matrix_labels,confusion_matrix,estimator,validation_scheme,train_window_weeks,transaction_cost_bps,buffer_bps,trade_threshold,allow_short,trade_count,trade_frequency,hit_rate_traded_weeks,average_return_traded_weeks,average_predicted_return_traded_weeks,strategy_total_return,benchmark_total_return,strategy_annual_return,strategy_annual_vol,strategy_sharpe,benchmark_sharpe,max_drawdown,mean_position,turnover,high_vol_quantile,spearman_corr,mean_actual_volatility,mean_predicted_volatility,high_vol_accuracy,high_vol_balanced_accuracy,high_vol_rate_actual,high_vol_rate_predicted
expected_return,1,price_ai_gdelt_ridge,next_week_log_return,,price_ai_gdelt,175,14,0.018235838774708014,0.025438692135335537,-0.11973483909362082,0.52,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,42.0,0.24,0.47619047619047616,0.0003786043452005183,0.010474117153696935,-0.013999697418321078,-0.2853837073443145,-0.004180540595407289,0.12190087925968869,-0.03436647472622957,-0.5759410574643985,-0.22384077636449717,0.24,0.34285714285714286,,,,,,,,
expected_return,1,price_ai_hgb,next_week_log_return,,price_ai,175,14,0.018858524494837475,0.025936458399559048,-0.16398391432656534,0.4685714285714286,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,54.0,0.30857142857142855,0.4074074074074074,-0.006106809369500312,0.009600685341425327,-0.30875966347433514,-0.2853837073443145,-0.1039197104933649,0.11004856461367563,-0.9970621750738621,-0.5759410574643985,-0.3357752082313209,0.30857142857142855,0.4514285714285714,,,,,,,,
expected_return,1,price_ai_ridge,next_week_log_return,,price_ai,175,14,0.01819599262901751,0.025397693246866433,-0.11612845168511865,0.4857142857142857,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,36.0,0.2057142857142857,0.5277777777777778,0.0015847228882329206,0.01071893752111371,0.030506082676114543,-0.2853837073443145,0.008969133759696213,0.11621773783029685,0.07683121482361784,-0.5759410574643985,-0.20743470461237,0.2057142857142857,0.30857142857142855,,,,,,,,
expected_return,1,price_calendar_ai_gdelt_hgb,next_week_log_return,,price_calendar_ai_gdelt,175,14,0.018200176866664884,0.02437285356485689,-0.027870472904019117,0.5485714285714286,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,58.0,0.3314285714285714,0.5517241379310345,0.0035058915970200295,0.010851157303059815,0.18334090409695536,-0.2853837073443145,0.051293738335718375,0.1040086224070096,0.48093644842838945,-0.5759410574643985,-0.13187707861068398,0.3314285714285714,0.4,,,,,,,,
expected_return,1,price_calendar_ai_gdelt_ridge,next_week_log_return,,price_calendar_ai_gdelt,175,14,0.017899603340792228,0.025256208658960905,-0.1037277097060878,0.5542857142857143,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,53.0,0.3028571428571429,0.5094339622641509,0.0031128260519283353,0.009919656733912461,0.14222690312861497,-0.2853837073443145,0.04030505472618673,0.0972456726125002,0.40633162312932286,-0.5759410574643985,-0.17541168887764969,0.3028571428571429,0.3657142857142857,,,,,,,,
expected_return,1,price_calendar_ai_hgb,next_week_log_return,,price_calendar_ai,175,14,0.01817824279917956,0.024664995170852667,-0.05265898469466457,0.5314285714285715,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,59.0,0.33714285714285713,0.4915254237288136,-0.0003912618392987403,0.01048441538677527,-0.05831499367747972,-0.2853837073443145,-0.017695232298489794,0.08585291883231336,-0.20795640900164228,-0.5759410574643985,-0.13645040286286014,0.33714285714285713,0.4228571428571429,,,,,,,,
expected_return,1,price_calendar_ai_ridge,next_week_log_return,,price_calendar_ai,175,14,0.018011077816578812,0.025234137868249514,-0.10179951060529069,0.5371428571428571,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,48.0,0.2742857142857143,0.5,0.002683177247394697,0.009945418772336246,0.10715372221456598,-0.2853837073443145,0.03070900172484481,0.094039008066977,0.32164223387124025,-0.5759410574643985,-0.1477638627031762,0.2742857142857143,0.30857142857142855,,,,,,,,
expected_return,1,price_calendar_gdelt_hgb,next_week_log_return,,price_calendar_gdelt,175,14,0.018314223410197006,0.02518489613509252,-0.09750361733405999,0.5428571428571428,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,61.0,0.3485714285714286,0.5081967213114754,-0.00017965063604359052,0.010605798121343959,-0.04587318709890886,-0.2853837073443145,-0.013856540938376738,0.08839767833807911,-0.15784847769361723,-0.5759410574643985,-0.1397713213512708,0.3485714285714286,0.4114285714285714,,,,,,,,
expected_return,1,price_calendar_gdelt_ridge,next_week_log_return,,price_calendar_gdelt,175,14,0.01737827871020328,0.024276160560616513,-0.019731029088332797,0.5371428571428571,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,39.0,0.22285714285714286,0.5384615384615384,0.0012409374616350027,0.007546448291267864,0.02469659203814878,-0.2853837073443145,0.00727560336315114,0.11669289470710059,0.0621225813218057,-0.5759410574643985,-0.19948079654381412,0.22285714285714286,0.2742857142857143,,,,,,,,
expected_return,1,price_calendar_hgb,next_week_log_return,,price_calendar,175,14,0.018092619492015564,0.025200513356744045,-0.09886516922849897,0.5371428571428571,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,54.0,0.30857142857142855,0.5370370370370371,0.0012729815545949503,0.010014871168273105,0.0363873914854258,-0.2853837073443145,0.010676778354663519,0.0815859427583113,0.13017173879772057,-0.5759410574643985,-0.09437504189076618,0.30857142857142855,0.37714285714285717,,,,,,,,
expected_return,1,price_calendar_ridge,next_week_log_return,,price_calendar,175,14,0.01727585377933367,0.024303129800526412,-0.021997997690553106,0.5314285714285715,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,37.0,0.21142857142857144,0.5675675675675675,-0.0012389786045538306,0.006601585633852453,-0.06184697945209994,-0.2853837073443145,-0.01879145332135934,0.1006682760046511,-0.18844324104692914,-0.5759410574643985,-0.16837662287245714,0.21142857142857144,0.2057142857142857,,,,,,,,
expected_return,1,price_gdelt_hgb,next_week_log_return,,price_gdelt,175,14,0.01880772478500873,0.025498768072514708,-0.12502980872223146,0.4857142857142857,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,48.0,0.2742857142857143,0.4583333333333333,-0.0013541533813813678,0.009940434250482778,-0.0924434151238005,-0.2853837073443145,-0.028411256700607956,0.1245427285324399,-0.23142794442008172,-0.5759410574643985,-0.20245114146087673,0.2742857142857143,0.3657142857142857,,,,,,,,
expected_return,1,price_gdelt_ridge,next_week_log_return,,price_gdelt,175,14,0.017625839661048623,0.024627187122323674,-0.04943429492546536,0.5257142857142857,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,34.0,0.19428571428571428,0.5294117647058824,-0.0006147238022120844,0.007013518127994397,-0.041034911928783724,-0.2853837073443145,-0.012373280362467654,0.11353128742446073,-0.1096655119351722,-0.5759410574643985,-0.18436275008768876,0.19428571428571428,0.24,,,,,,,,
expected_return,1,price_only_hgb,next_week_log_return,,price_only,175,14,0.018714089385030094,0.025819124389870784,-0.15347623652306353,0.5085714285714286,,,,,,,,,,,,,,hgb,expanding,,5.0,25.0,0.003,False,56.0,0.32,0.48214285714285715,-0.0047162208634020176,0.009304310895374712,-0.25852094778082924,-0.2853837073443145,-0.08504273083845637,0.11563085503770057,-0.7686349386418669,-0.5759410574643985,-0.32797866490364924,0.32,0.4,,,,,,,,
expected_return,1,price_only_ridge,next_week_log_return,,price_only,175,14,0.017508297548052082,0.024574113483400415,-0.04491593231994839,0.52,,,,,,,,,,,,,,ridge,expanding,,5.0,25.0,0.003,False,20.0,0.11428571428571428,0.55,0.0022837990780209872,0.007879813127275365,0.03321570405766949,-0.2853837073443145,0.009756724007642381,0.10962271184579606,0.08857137683720587,-0.5759410574643985,-0.14154617760867616,0.11428571428571428,0.14857142857142858,,,,,,,,
volatility,1,price_ai_gdelt_hgb,next_1_week_realized_volatility,,price_ai_gdelt,175,14,0.012621473623972125,0.0178721571657748,-0.09089150654584666,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.06104473786649776,0.016994545067927466,0.01905903699942743,0.7542857142857143,0.5238840216937839,0.19428571428571428,0.10857142857142857
volatility,1,price_ai_gdelt_ridge,next_1_week_realized_volatility,,price_ai_gdelt,175,14,0.012389261126047947,0.017190841446991095,-0.009303734490273552,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.10489699178688115,0.016994545067927466,0.01899716946646654,0.7828571428571428,0.5527743012098456,0.19428571428571428,0.09142857142857143
volatility,1,price_ai_hgb,next_1_week_realized_volatility,,price_ai,175,14,0.013136724084894707,0.018567928325875643,-0.1774826392963249,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.0030083488123996676,0.016994545067927466,0.019299866887144822,0.7142857142857143,0.4879015435961619,0.19428571428571428,0.13714285714285715
volatility,1,price_ai_ridge,next_1_week_realized_volatility,,price_ai,175,14,0.012510804057109845,0.017319477804759086,-0.024465169980627754,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.026732543577844013,0.016994545067927466,0.019797370060968992,0.7942857142857143,0.5598664997914059,0.19428571428571428,0.08
volatility,1,price_calendar_ai_gdelt_hgb,next_1_week_realized_volatility,,price_calendar_ai_gdelt,175,14,0.012075989632141262,0.016533923189382238,0.06636001700784022,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.20391387640490372,0.016994545067927466,0.019855921380204315,0.8,0.6303712974551523,0.19428571428571428,0.14285714285714285
volatility,1,price_calendar_ai_gdelt_ridge,next_1_week_realized_volatility,,price_calendar_ai_gdelt,175,14,0.01255608866305705,0.016799944767379806,0.03607483509757514,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.15926671081470128,0.016994545067927466,0.019634460827797073,0.76,0.5609094701710471,0.19428571428571428,0.13714285714285715
volatility,1,price_calendar_ai_hgb,next_1_week_realized_volatility,,price_calendar_ai,175,14,0.012409368916791017,0.016938283441393656,0.020134645206473567,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.21626859510413343,0.016994545067927466,0.019885177727558552,0.7657142857142857,0.5644555694618273,0.19428571428571428,0.13142857142857142
volatility,1,price_calendar_ai_ridge,next_1_week_realized_volatility,,price_calendar_ai,175,14,0.012546065878735437,0.016786149385066385,0.037657251778460354,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.15801948320881617,0.016994545067927466,0.0200529786762059,0.76,0.5720692532332082,0.19428571428571428,0.14857142857142858
volatility,1,price_calendar_gdelt_hgb,next_1_week_realized_volatility,,price_calendar_gdelt,175,14,0.012211981519211417,0.016383572021676594,0.08326291603188363,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.21126065158427346,0.016994545067927466,0.020055089819587556,0.7771428571428571,0.5827075511055486,0.19428571428571428,0.13142857142857142
volatility,1,price_calendar_gdelt_ridge,next_1_week_realized_volatility,,price_calendar_gdelt,175,14,0.012521072031847175,0.016702802434992423,0.04719001656976296,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.1673501787810301,0.016994545067927466,0.0201961830246101,0.7485714285714286,0.5538172715894869,0.19428571428571428,0.14857142857142858
volatility,1,price_calendar_hgb,next_1_week_realized_volatility,,price_calendar,175,14,0.012200240848261264,0.016974274496809688,0.015966117027962135,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.2501105599543027,0.016994545067927466,0.019831311394366002,0.7485714285714286,0.5538172715894869,0.19428571428571428,0.14857142857142858
volatility,1,price_calendar_ridge,next_1_week_realized_volatility,,price_calendar,175,14,0.012616810612314074,0.016755706122818258,0.04114468486213185,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.15969215649713964,0.016994545067927466,0.020760015523167433,0.7714285714285715,0.5903212348769294,0.19428571428571428,0.14857142857142858
volatility,1,price_gdelt_hgb,next_1_week_realized_volatility,,price_gdelt,175,14,0.012594982109796342,0.017741394304143402,-0.07498673953542023,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.05365765730668644,0.016994545067927466,0.018996357253868782,0.7657142857142857,0.5198164372131832,0.19428571428571428,0.08571428571428572
volatility,1,price_gdelt_ridge,next_1_week_realized_volatility,,price_gdelt,175,14,0.012478158412128312,0.01709867700590279,0.0014895193337788326,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.0864068985093298,0.016994545067927466,0.019197674581139964,0.7657142857142857,0.5309762202753442,0.19428571428571428,0.09714285714285714
volatility,1,price_only_hgb,next_1_week_realized_volatility,,price_only,175,14,0.012857740770215802,0.01814750418419364,-0.12476403482638809,,,,,,,,,,,,,,,hgb,expanding,,,,,,,,,,,,,,,,,,,,0.7,0.019969076820975238,0.016994545067927466,0.019221154741047207,0.7542857142857143,0.5127242386316229,0.19428571428571428,0.09714285714285714
volatility,1,price_only_ridge,next_1_week_realized_volatility,,price_only,175,14,0.012723946182918274,0.017325640680498508,-0.02519438074807967,,,,,,,,,,,,,,,ridge,expanding,,,,,,,,,,,,,,,,,,,,0.7,-0.045520448833102224,0.016994545067927466,0.02018609409347717,0.7885714285714286,0.5451606174384648,0.19428571428571428,0.07428571428571429
direction_classification,4,price_only_return_regression,next_week_log_return,price_only_ridge,price_only,172,14,0.03473869388635618,0.04332155193850308,-0.07543482997107498,0.5174418604651163,-0.008173698326875823,-0.004400683351278347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
